,age,gender,country,mental_health,family_history,treatment,self_employed,work_interfere,no_employees,tech_company,benefits,care_options,wellness_program,seek_help,anonymity,leave,coworkers,obs_neg_response,obs_pos_response,mental_vs_physical,mental_health_interview,physical_importance,mental_importance,supervisor,neg_consequence_coworker,age_range
338,38.0,trans,United States of America,Yes,Yes,yes,yes,Sometimes,More than 1000,yes,yes,No,no,No,I don't know,Somewhat easy,Maybe,"Yes, I experienced",Maybe/Not sure,Physical health,No,7.0,5.0,Yes,Maybe,26-42
339,45.0,male,United States of America,Yes,Yes,yes,no,Rarely,1-5,yes,no,No,I don't know,No,Yes,Very easy,Yes,Maybe/Not sure,"Yes, I observed",Same level of comfort for each,Maybe,10.0,10.0,Yes,No,43-100
340,35.0,male,United States of America,Possibly,Yes,yes,yes,Often,More than 1000,yes,yes,No,no,No,I don't know,Somewhat easy,Maybe,Maybe/Not sure,Maybe/Not sure,Physical health,No,7.0,5.0,Yes,Maybe,26-42
341,51.0,male,Austria,Yes,Yes,yes,yes,Sometimes,More than 1000,yes,yes,No,no,No,I don't know,Somewhat easy,Maybe,Maybe/Not sure,"Yes, I observed",Physical health,Maybe,7.0,5.0,Yes,No,43-100
342,34.0,female,United States of America,No,Yes,no,yes,Not applicable to me,More than 1000,yes,yes,No,no,No,I don't know,Somewhat easy,Maybe,"Yes, I experienced","Yes, I experienced",Physical health,Maybe,7.0,5.0,Yes,No,26-42
343,29.0,male,United States of America,Possibly,Yes,yes,no,Sometimes,26-100,yes,yes,Yes,yes,Yes,I don't know,Somewhat easy,Maybe,Maybe/Not sure,Maybe/Not sure,Physical health,No,6.0,7.0,Yes,Yes,26-42
344,40.0,male,United States of America,Possibly,I don't know,no,no,Not applicable to me,26-100,yes,I don't know,No,no,I don't know,I don't know,Somewhat easy,Maybe,No,Maybe/Not sure,Physical health,No,3.0,3.0,Maybe,No,26-42
345,38.0,male,Germany,Possibly,No,no,yes,Sometimes,More than 1000,yes,yes,No,no,No,I don't know,Somewhat easy,Maybe,No,"Yes, I experienced",Physical health,Maybe,7.0,5.0,Yes,No,26-42
346,32.0,trans,United States of America,Yes,Yes,yes,no,Sometimes,26-100,yes,yes,No,no,No,I don't know,I don't know,Maybe,"Yes, I experienced",No,Physical health,No,2.0,2.0,No,No,26-42
347,22.0,female,United States of America,Yes,Yes,yes,no,Sometimes,More than 1000,yes,yes,Yes,yes,I don't know,I don't know,Difficult,Maybe,"Yes, I observed","Yes, I experienced",Physical health,No,7.0,4.0,Yes,No,22-25
348,28.0,male,United States of America,Yes,Yes,yes,no,Sometimes,1-5,yes,yes,Yes,yes,I don't know,Yes,Very easy,Maybe,Maybe/Not sure,"Yes, I experienced",Same level of comfort for each,No,8.0,8.0,Yes,Yes,26-42
349,29.0,female,United States of America,Yes,I don't know,yes,no,Sometimes,More than 1000,yes,I don't know,No,yes,I don't know,I don't know,I don't know,No,Maybe/Not sure,No,Physical health,No,5.0,4.0,No,No,26-42
351,38.0,female,United States of America,Yes,Yes,yes,no,Sometimes,100-500,yes,yes,No,no,I don't know,I don't know,I don't know,Yes,"Yes, I experienced",Maybe/Not sure,Physical health,Maybe,5.0,5.0,Maybe,No,26-42
352,30.0,male,United States of America,No,No,no,no,Not applicable to me,26-100,yes,I don't know,No,no,I don't know,I don't know,Very easy,Maybe,No,No,Physical health,No,6.0,5.0,No,No,26-42
353,37.0,female,United States of America,Yes,Yes,yes,no,Rarely,More than 1000,no,yes,Yes,I don't know,Yes,I don't know,Neither easy nor difficult,No,Maybe/Not sure,Maybe/Not sure,Physical health,No,8.0,5.0,No,No,26-42
354,38.0,female,United States of America,Yes,Yes,yes,no,Rarely,More than 1000,yes,yes,Yes,yes,Yes,I don't know,Difficult,Maybe,No,No,Physical health,No,10.0,5.0,Maybe,No,26-42
355,51.0,female,United States of America,Yes,Yes,yes,no,Rarely,100-500,yes,yes,Yes,yes,Yes,I don't know,Difficult,Maybe,"Yes, I experienced","Yes, I experienced",Same level of comfort for each,No,8.0,5.0,Maybe,Yes,43-100
356,39.0,male,United States of America,Yes,Yes,yes,no,Sometimes,More than 1000,no,yes,Yes,yes,Yes,Yes,Very easy,Maybe,No,"Yes, I experienced",Physical health,No,10.0,8.0,Maybe,Yes,26-42
357,22.0,male,United States of America,Don't Know,No,no,no,Not applicable to me,More than 1000,no,yes,No,I don't know,I don't know,I don't know,I don't know,No,No,No,Physical health,Yes,7.0,8.0,Yes,No,22-25
358,26.0,male,United States of America,Yes,Yes,yes,no,Rarely,More than 1000,yes,yes,Yes,I don't know,Yes,Yes,Very easy,Yes,"Yes, I experienced","Yes, I experienced",Same level of comfort for each,Maybe,7.0,5.0,No,Maybe,26-42
359,42.0,male,United States of America,Possibly,Yes,no,no,Sometimes,100-500,no,I don't know,No,no,No,No,Somewhat easy,No,"Yes, I observed",Maybe/Not sure,Physical health,No,5.0,1.0,No,Yes,26-42
360,49.0,male,United Kingdom,Yes,No,yes,no,Often,100-500,no,no,No,yes,No,I don't know,I don't know,No,"Yes, I observed",No,Physical health,No,5.0,2.0,No,No,43-100
361,48.0,male,United Kingdom,No,Yes,no,no,Not applicable to me,More than 1000,yes,yes,No,yes,Yes,Yes,Very easy,Yes,No,"Yes, I observed",Same level of comfort for each,Maybe,8.0,8.0,Yes,No,43-100
362,25.0,male,Germany,No,Yes,yes,no,Often,More than 1000,no,yes,Yes,yes,Yes,Yes,Very easy,No,"Yes, I experienced","Yes, I observed",Physical health,No,7.0,8.0,Maybe,Maybe,22-25
363,31.0,male,Israel,Yes,I don't know,yes,no,Sometimes,6-25,yes,no,No,no,No,I don't know,Very easy,Maybe,No,"Yes, I observed",Physical health,No,4.0,8.0,Maybe,No,26-42
364,63.0,male,United States of America,No,No,no,no,Not applicable to me,1-5,yes,yes,No,no,Yes,Yes,Neither easy nor difficult,Maybe,"Yes, I observed","Yes, I observed",Physical health,No,8.0,8.0,Maybe,No,43-100
365,30.0,female,Turkey,Don't Know,No,no,no,Not applicable to me,More than 1000,yes,no,No,no,No,I don't know,Difficult,No,No,No,Physical health,No,7.0,5.0,No,Maybe,26-42
366,34.0,male,Switzerland,No,I don't know,yes,no,Not applicable to me,100-500,yes,I don't know,No,no,I don't know,I don't know,Very easy,Maybe,No,"Yes, I experienced",Physical health,Maybe,10.0,10.0,Maybe,No,26-42
367,41.0,male,Netherlands,Possibly,Yes,yes,no,Not applicable to me,100-500,yes,no,No,no,No,I don't know,Somewhat easy,Yes,"Yes, I experienced","Yes, I experienced",Same level of comfort for each,No,6.0,3.0,Maybe,Maybe,26-42
368,31.0,male,Norway,Possibly,Yes,yes,no,Rarely,More than 1000,no,no,No,no,Yes,No,Very easy,Maybe,"Yes, I experienced","Yes, I experienced",Physical health,No,5.0,5.0,Yes,No,26-42
369,29.0,female,Norway,No,Yes,no,no,Not applicable to me,More than 1000,no,I don't know,No,no,I don't know,I don't know,Very easy,Maybe,Maybe/Not sure,"Yes, I experienced",Physical health,Maybe,6.0,4.0,Yes,No,26-42
370,29.0,male,United States of America,Possibly,Yes,yes,no,Sometimes,More than 1000,no,yes,No,no,Yes,I don't know,Somewhat easy,No,Maybe/Not sure,Maybe/Not sure,Physical health,No,6.0,4.0,No,Maybe,26-42
372,32.0,male,United States of America,Possibly,No,no,no,Not applicable to me,More than 1000,yes,I don't know,No,no,I don't know,I don't know,Somewhat difficult,Yes,No,Maybe/Not sure,Physical health,No,6.0,3.0,Maybe,Yes,26-42
373,28.0,male,Norway,No,Yes,yes,no,Not applicable to me,More than 1000,no,I don't know,No,no,No,I don't know,Very easy,Maybe,Maybe/Not sure,Maybe/Not sure,Physical health,No,7.0,6.0,Maybe,No,26-42
374,36.0,male,United States of America,Yes,I don't know,no,no,Rarely,More than 1000,no,yes,Yes,I don't know,Yes,Yes,Neither easy nor difficult,Maybe,Maybe/Not sure,Maybe/Not sure,Physical health,No,7.0,6.0,Maybe,No,26-42
375,28.0,trans,United States of America,Don't Know,Yes,yes,no,Not applicable to me,More than 1000,yes,I don't know,No,no,I don't know,I don't know,Somewhat difficult,Maybe,"Yes, I observed","Yes, I experienced",Physical health,No,8.0,6.0,No,Yes,26-42
376,30.0,female,United States of America,Yes,Yes,yes,yes,Rarely,More than 1000,yes,yes,No,no,No,I don't know,Somewhat easy,Maybe,No,No,Physical health,No,7.0,5.0,Yes,No,26-42
377,36.0,male,United States of America,No,No,no,no,Not applicable to me,More than 1000,no,yes,Yes,yes,Yes,I don't know,Very easy,Yes,No,No,Same level of comfort for each,No,8.0,8.0,Yes,Maybe,26-42
378,40.0,male,United States of America,Yes,Yes,yes,no,Sometimes,6-25,yes,yes,No,no,No,I don't know,Somewhat difficult,Maybe,No,No,Same level of comfort for each,Yes,5.0,3.0,Maybe,No,26-42
379,27.0,male,United States of America,Don't Know,No,no,no,Not applicable to me,100-500,yes,I don't know,No,no,No,I don't know,Somewhat easy,Maybe,"Yes, I observed",Maybe/Not sure,Physical health,No,4.0,0.0,Yes,No,26-42
380,28.0,female,Norway,Yes,Yes,yes,no,Sometimes,More than 1000,no,yes,No,no,I don't know,I don't know,Very easy,Maybe,Maybe/Not sure,"Yes, I experienced",Physical health,No,3.0,2.0,Yes,No,26-42
381,34.0,male,United States of America,Yes,Yes,yes,no,Rarely,More than 1000,yes,yes,Yes,yes,Yes,Yes,Somewhat easy,Yes,"Yes, I experienced","Yes, I experienced",Physical health,Maybe,7.0,7.0,Yes,No,26-42
382,34.0,male,United States of America,Yes,I don't know,yes,no,Sometimes,6-25,yes,yes,Yes,yes,Yes,I don't know,Somewhat easy,Yes,"Yes, I observed","Yes, I experienced",Same level of comfort for each,Maybe,9.0,10.0,Yes,No,26-42
383,34.0,female,United States of America,Yes,Yes,yes,yes,Sometimes,More than 1000,yes,yes,No,no,No,I don't know,Somewhat easy,Maybe,Maybe/Not sure,No,Physical health,No,7.0,5.0,Yes,No,26-42
384,27.0,female,United States of America,Yes,Yes,yes,no,Sometimes,100-500,yes,yes,Yes,no,Yes,I don't know,I don't know,Maybe,"Yes, I observed","Yes, I experienced",Physical health,No,6.0,1.0,Maybe,Yes,26-42
385,44.0,female,United States of America,Possibly,Yes,yes,no,Sometimes,More than 1000,yes,yes,Yes,no,No,Yes,Neither easy nor difficult,Maybe,Maybe/Not sure,Maybe/Not sure,Same level of comfort for each,No,5.0,3.0,Maybe,Yes,43-100
386,36.0,male,Mexico,Yes,I don't know,yes,no,Rarely,100-500,no,no,No,no,No,I don't know,Neither easy nor difficult,No,No,No,Physical health,Yes,8.0,5.0,No,No,26-42
387,31.0,female,United States of America,Yes,Yes,yes,no,Rarely,More than 1000,no,yes,Yes,yes,Yes,I don't know,Very easy,Yes,No,No,Same level of comfort for each,No,10.0,10.0,Yes,No,26-42
388,26.0,trans,United States of America,Yes,No,yes,no,Sometimes,100-500,yes,yes,Yes,yes,Yes,I don't know,Neither easy nor difficult,Yes,Maybe/Not sure,"Yes, I experienced",Same level of comfort for each,Yes,8.0,10.0,Yes,No,26-42
389,39.0,male,United States of America,No,No,no,no,Not applicable to me,6-25,yes,yes,Yes,no,I don't know,Yes,Very easy,Yes,No,Maybe/Not sure,Same level of comfort for each,Maybe,7.0,8.0,Yes,No,26-42
390,36.0,female,United States of America,Yes,Yes,yes,no,Sometimes,More than 1000,no,yes,Yes,yes,Yes,Yes,Very easy,Yes,Maybe/Not sure,"Yes, I experienced",Same level of comfort for each,Maybe,6.0,5.0,Yes,No,26-42
391,25.0,female,United States of America,Yes,Yes,yes,no,Often,6-25,yes,no,Yes,no,No,Yes,Somewhat easy,Maybe,"Yes, I experienced","Yes, I experienced",Physical health,Maybe,9.0,6.0,Maybe,No,22-25
392,47.0,male,Switzerland,Yes,I don't know,yes,no,Sometimes,More than 1000,no,no,No,no,No,I don't know,Very easy,No,"Yes, I experienced","Yes, I observed",Physical health,No,0.0,0.0,No,No,43-100
393,38.0,male,United Kingdom,Possibly,I don't know,yes,no,Rarely,More than 1000,no,yes,No,yes,Yes,I don't know,Somewhat easy,Yes,"Yes, I experienced",Maybe/Not sure,Same level of comfort for each,No,5.0,7.0,Yes,No,26-42
394,33.0,male,Canada,Don't Know,No,no,no,Not applicable to me,26-100,yes,I don't know,No,yes,No,I don't know,Very easy,Maybe,"Yes, I observed","Yes, I observed",Same level of comfort for each,Maybe,10.0,10.0,Maybe,No,26-42
395,59.0,female,United Kingdom,Possibly,I don't know,yes,yes,Not applicable to me,More than 1000,yes,yes,No,no,No,I don't know,Somewhat easy,Maybe,"Yes, I experienced",Maybe/Not sure,Physical health,No,7.0,5.0,Yes,Maybe,43-100
396,39.0,male,United States of America,Possibly,Yes,yes,no,Rarely,100-500,yes,yes,Yes,yes,No,Yes,Very easy,Maybe,"Yes, I observed","Yes, I experienced",Physical health,Yes,5.0,7.0,Yes,No,26-42
397,19.0,female,United States of America,Yes,I don't know,yes,no,Rarely,100-500,yes,no,No,yes,I don't know,Yes,I don't know,No,No,Maybe/Not sure,Physical health,No,5.0,5.0,Maybe,No,18-21
398,35.0,male,United States of America,Yes,Yes,yes,no,Sometimes,6-25,no,no,No,no,No,I don't know,Neither easy nor difficult,No,Maybe/Not sure,Maybe/Not sure,Physical health,No,5.0,3.0,No,No,26-42
399,38.0,male,United States of America,Yes,Yes,yes,no,Sometimes,26-100,yes,yes,Yes,no,No,I don't know,Somewhat difficult,Maybe,Maybe/Not sure,No,Physical health,No,0.0,0.0,No,Yes,26-42
400,23.0,female,Italy,No,No,no,no,Not applicable to me,100-500,yes,I don't know,Yes,I don't know,Yes,I don't know,Somewhat easy,Maybe,No,No,Physical health,Maybe,8.0,10.0,No,No,22-25
401,32.0,male,United States of America,Yes,Yes,yes,no,Sometimes,More than 1000,no,yes,Yes,no,Yes,Yes,Difficult,No,No,No,Physical health,Maybe,8.0,1.0,Yes,No,26-42
402,39.0,male,United States of America,Yes,Yes,yes,yes,Rarely,More than 1000,yes,yes,No,no,No,I don't know,Somewhat easy,Maybe,No,"Yes, I experienced",Physical health,No,7.0,5.0,Yes,Yes,26-42
403,33.0,male,United States of America,No,No,no,no,Not applicable to me,More than 1000,no,yes,Yes,no,Yes,Yes,Neither easy nor difficult,Maybe,No,No,Physical health,Maybe,6.0,6.0,Maybe,No,26-42
404,38.0,female,New Zealand,Yes,No,yes,no,Often,500-1000,yes,I don't know,No,no,No,Yes,Somewhat easy,Maybe,"Yes, I observed",Maybe/Not sure,Physical health,No,5.0,4.0,Yes,Maybe,26-42
405,42.0,male,United States of America,Possibly,No,yes,no,Sometimes,26-100,yes,yes,No,no,I don't know,I don't know,Very easy,Maybe,No,"Yes, I experienced",Same level of comfort for each,Maybe,6.0,6.0,Maybe,No,26-42
406,39.0,female,United States of America,Possibly,No,no,no,Not applicable to me,500-1000,yes,I don't know,Yes,no,No,I don't know,Difficult,Maybe,Maybe/Not sure,No,Physical health,No,5.0,0.0,No,No,26-42
407,30.0,male,Spain,Don't Know,No,no,no,Not applicable to me,More than 1000,yes,no,No,no,No,I don't know,Very easy,Yes,No,No,Same level of comfort for each,No,8.0,5.0,Yes,Yes,26-42
408,39.0,male,Germany,Possibly,I don't know,no,no,Not applicable to me,100-500,yes,no,No,I don't know,I don't know,I don't know,Very easy,Maybe,Maybe/Not sure,Maybe/Not sure,Same level of comfort for each,No,8.0,6.0,Yes,Maybe,26-42
409,50.0,male,Italy,No,Yes,yes,no,Often,500-1000,yes,I don't know,No,no,No,I don't know,Very easy,Maybe,Maybe/Not sure,No,Physical health,Maybe,10.0,6.0,Maybe,No,43-100
411,59.0,female,United States of America,Possibly,No,yes,yes,Rarely,More than 1000,yes,yes,No,no,No,I don't know,Somewhat easy,Maybe,No,"Yes, I experienced",Physical health,No,7.0,5.0,Yes,No,43-100
412,53.0,male,United States of America,Yes,Yes,yes,no,Sometimes,More than 1000,no,yes,Yes,yes,Yes,Yes,I don't know,No,"Yes, I experienced",No,Physical health,No,10.0,8.0,Maybe,No,43-100
413,35.0,male,United States of America,No,I don't know,no,no,Not applicable to me,6-25,yes,yes,No,yes,I don't know,I don't know,Very easy,Maybe,No,Maybe/Not sure,Physical health,Maybe,6.0,7.0,Yes,No,26-42
414,27.0,female,Canada,No,Yes,yes,no,Not applicable to me,6-25,yes,yes,Yes,yes,Yes,Yes,Very easy,Yes,"Yes, I experienced","Yes, I observed",Same level of comfort for each,Maybe,5.0,10.0,Yes,No,26-42
415,24.0,female,Canada,Possibly,Yes,no,no,Sometimes,6-25,yes,yes,No,no,No,No,Somewhat easy,No,Maybe/Not sure,"Yes, I observed",Physical health,No,5.0,5.0,No,No,22-25
416,29.0,trans,United States of America,Yes,Yes,yes,no,Sometimes,6-25,yes,yes,Yes,I don't know,I don't know,I don't know,Somewhat easy,Maybe,"Yes, I observed","Yes, I experienced",Same level of comfort for each,Maybe,10.0,10.0,Yes,No,26-42
417,40.0,female,Ireland,Yes,Yes,yes,no,Sometimes,More than 1000,yes,yes,Yes,no,No,I don't know,I don't know,No,"Yes, I observed",Maybe/Not sure,Physical health,No,10.0,2.0,Yes,No,26-42
418,27.0,male,France,Don't Know,No,no,no,Not applicable to me,100-500,yes,no,No,no,No,I don't know,I don't know,Maybe,"Yes, I observed","Yes, I observed",Physical health,No,9.0,2.0,Maybe,No,26-42
419,46.0,male,Canada,No,Yes,yes,yes,Not applicable to me,More than 1000,yes,yes,No,no,No,I don't know,Somewhat easy,Maybe,Maybe/Not sure,"Yes, I observed",Physical health,Maybe,7.0,5.0,Yes,No,43-100
420,39.0,male,Canada,Yes,No,no,no,Sometimes,100-500,yes,no,No,no,No,No,Difficult,No,"Yes, I observed",No,Physical health,No,10.0,0.0,No,Yes,26-42
421,19.0,male,Algeria,Don't Know,I don't know,no,yes,Not applicable to me,More than 1000,yes,yes,No,no,No,I don't know,Somewhat easy,Maybe,No,No,Physical health,No,7.0,5.0,Yes,No,18-21
422,28.0,male,Hong Kong,No,No,no,no,Not applicable to me,500-1000,yes,no,No,no,No,I don't know,Somewhat easy,Maybe,Maybe/Not sure,Maybe/Not sure,Same level of comfort for each,No,1.0,1.0,No,No,26-42
423,30.0,male,United States of America,No,Yes,no,no,Not applicable to me,More than 1000,no,I don't know,No,yes,Yes,Yes,Somewhat easy,Maybe,"Yes, I observed","Yes, I observed",Physical health,No,10.0,8.0,Maybe,No,26-42
424,29.0,female,United States of America,Yes,I don't know,yes,no,Sometimes,More than 1000,yes,yes,Yes,yes,Yes,I don't know,I don't know,Yes,No,Maybe/Not sure,Same level of comfort for each,No,8.0,8.0,Maybe,No,26-42
425,24.0,male,United States of America,No,I don't know,no,no,Not applicable to me,More than 1000,no,I don't know,No,no,No,I don't know,Somewhat difficult,Yes,No,No,Physical health,Maybe,7.0,3.0,Maybe,No,22-25
426,25.0,female,United States of America,Yes,Yes,yes,no,Sometimes,More than 1000,yes,no,No,no,No,I don't know,Somewhat easy,Yes,"Yes, I experienced","Yes, I experienced",Same level of comfort for each,No,8.0,5.0,Yes,No,22-25
427,45.0,male,United Kingdom,No,I don't know,yes,no,Not applicable to me,500-1000,no,I don't know,No,yes,I don't know,I don't know,I don't know,Maybe,No,No,Physical health,No,2.0,5.0,Maybe,No,43-100
428,37.0,male,United States of America,Yes,No,yes,no,Not applicable to me,More than 1000,yes,yes,Yes,yes,Yes,Yes,I don't know,No,No,No,Physical health,No,8.0,7.0,Maybe,No,26-42
429,22.0,male,United States of America,No,Yes,no,no,Not applicable to me,6-25,yes,I don't know,No,no,No,I don't know,Very easy,Maybe,No,Maybe/Not sure,Same level of comfort for each,Maybe,7.0,6.0,Maybe,No,22-25
430,35.0,female,United States of America,Yes,Yes,yes,no,Sometimes,500-1000,yes,yes,Yes,yes,Yes,I don't know,Very easy,Yes,"Yes, I observed","Yes, I experienced",Same level of comfort for each,No,7.0,7.0,Yes,Maybe,26-42
431,50.0,male,United States of America,Yes,Yes,yes,no,Sometimes,More than 1000,no,I don't know,No,I don't know,I don't know,I don't know,I don't know,No,No,Maybe/Not sure,Physical health,No,10.0,2.0,Maybe,No,43-100
432,45.0,male,United States of America,Yes,I don't know,yes,no,Sometimes,More than 1000,yes,yes,Yes,yes,Yes,I don't know,Somewhat easy,Yes,"Yes, I observed","Yes, I observed",Physical health,Maybe,8.0,5.0,Maybe,Maybe,43-100
433,49.0,male,United Kingdom,Yes,I don't know,yes,no,Sometimes,100-500,no,no,No,yes,I don't know,I don't know,I don't know,No,"Yes, I observed",No,Physical health,No,1.0,1.0,Yes,No,43-100
434,40.0,male,United Kingdom,No,No,no,no,Not applicable to me,100-500,no,no,No,no,No,I don't know,Difficult,Yes,"Yes, I experienced",No,Same level of comfort for each,No,8.0,2.0,Maybe,No,26-42
435,32.0,male,Spain,Possibly,Yes,no,yes,Often,More than 1000,yes,yes,No,no,No,I don't know,Somewhat easy,Maybe,No,Maybe/Not sure,Physical health,Maybe,7.0,5.0,Yes,No,26-42
436,38.0,female,Pakistan,No,No,no,no,Not applicable to me,500-1000,yes,yes,No,yes,Yes,Yes,Very easy,No,Maybe/Not sure,Maybe/Not sure,Same level of comfort for each,Maybe,9.0,9.0,Yes,No,26-42
437,37.0,male,United States of America,Possibly,Yes,no,no,Rarely,More than 1000,no,yes,Yes,yes,Yes,Yes,I don't know,Yes,Maybe/Not sure,No,Same level of comfort for each,No,6.0,5.0,Yes,No,26-42
438,28.0,female,United States of America,Possibly,No,no,no,Not applicable to me,100-500,yes,I don't know,No,yes,I don't know,I don't know,Neither easy nor difficult,Yes,Maybe/Not sure,Maybe/Not sure,Physical health,No,4.0,4.0,Maybe,No,26-42
439,25.0,male,United States of America,Don't Know,No,no,no,Not applicable to me,More than 1000,yes,yes,No,no,Yes,Yes,Somewhat difficult,No,No,No,Physical health,No,9.0,9.0,No,No,22-25
440,28.0,male,Brazil,No,Yes,no,yes,Sometimes,More than 1000,yes,yes,No,no,No,I don't know,Somewhat easy,Maybe,No,"Yes, I observed",Physical health,Maybe,7.0,5.0,Yes,Maybe,26-42
441,38.0,male,Brazil,Possibly,Yes,no,no,Often,6-25,yes,no,No,no,I don't know,I don't know,I don't know,Maybe,No,No,Physical health,Maybe,6.0,6.0,Maybe,No,26-42
442,25.0,male,India,No,No,no,no,Rarely,26-100,yes,I don't know,No,yes,No,I don't know,Somewhat easy,Maybe,Maybe/Not sure,Maybe/Not sure,Physical health,Maybe,8.0,6.0,No,Maybe,22-25
443,49.0,male,Canada,Yes,I don't know,yes,no,Rarely,6-25,yes,yes,Yes,no,No,Yes,Very easy,Yes,Maybe/Not sure,"Yes, I observed",Same level of comfort for each,Maybe,8.0,8.0,Yes,No,43-100
444,19.0,male,Brazil,Don't Know,No,yes,no,Sometimes,More than 1000,no,yes,No,no,No,I don't know,Neither easy nor difficult,No,Maybe/Not sure,"Yes, I observed",Physical health,No,6.0,5.0,No,Yes,18-21
445,43.0,male,Brazil,Don't Know,No,yes,yes,Not applicable to me,More than 1000,yes,yes,No,no,No,I don't know,Somewhat easy,Maybe,No,"Yes, I observed",Physical health,No,7.0,5.0,Yes,Maybe,43-100
446,31.0,male,Brazil,Don't Know,No,yes,no,Sometimes,500-1000,no,yes,No,yes,No,No,Difficult,No,Maybe/Not sure,Maybe/Not sure,Physical health,No,9.0,2.0,No,Yes,26-42
447,30.0,male,Brazil,Yes,Yes,yes,no,Sometimes,More than 1000,no,yes,Yes,yes,Yes,I don't know,Somewhat difficult,No,"Yes, I experienced","Yes, I observed",Physical health,No,6.0,6.0,No,Maybe,26-42
448,39.0,male,Brazil,Yes,Yes,yes,no,Sometimes,More than 1000,no,I don't know,No,no,No,I don't know,Somewhat easy,Yes,"Yes, I experienced","Yes, I observed",Same level of comfort for each,Maybe,5.0,4.0,Yes,No,26-42
449,22.0,male,Brazil,Yes,No,no,no,Rarely,100-500,no,no,No,yes,No,I don't know,Very easy,No,"Yes, I observed",Maybe/Not sure,Physical health,No,3.0,3.0,Yes,Yes,22-25
450,29.0,male,Brazil,Yes,Yes,yes,no,Sometimes,More than 1000,no,yes,Yes,no,I don't know,Yes,Difficult,No,"Yes, I observed","Yes, I experienced",Physical health,No,8.0,4.0,No,No,26-42
451,30.0,male,Brazil,Yes,Yes,no,yes,Sometimes,More than 1000,yes,yes,No,no,No,I don't know,Somewhat easy,Maybe,Maybe/Not sure,"Yes, I experienced",Physical health,No,7.0,5.0,Yes,Yes,26-42
452,32.0,male,Brazil,Yes,No,yes,no,Rarely,26-100,yes,yes,Yes,no,No,Yes,Somewhat difficult,Maybe,"Yes, I experienced",No,Physical health,Maybe,9.0,3.0,No,Maybe,26-42
453,41.0,male,Brazil,Yes,Yes,yes,no,Sometimes,More than 1000,no,no,No,no,No,I don't know,I don't know,No,No,"Yes, I experienced",Physical health,No,6.0,6.0,Maybe,No,26-42
454,27.0,female,Brazil,Possibly,No,no,no,Sometimes,More than 1000,no,I don't know,No,I don't know,I don't know,I don't know,Neither easy nor difficult,Maybe,No,Maybe/Not sure,Same level of comfort for each,No,6.0,6.0,Maybe,No,26-42
455,19.0,female,Indonesia,Possibly,I don't know,no,yes,Sometimes,More than 1000,yes,yes,No,no,No,I don't know,Somewhat easy,Maybe,I've always been self-employed,Maybe/Not sure,Physical health,No,7.0,5.0,Yes,No,18-21
456,27.0,male,United States of America,Yes,I don't know,yes,no,Rarely,500-1000,yes,yes,Yes,no,I don't know,Yes,Somewhat easy,Maybe,Maybe/Not sure,"Yes, I experienced",Same level of comfort for each,Yes,7.0,3.0,Yes,No,26-42
457,31.0,male,Brazil,Possibly,I don't know,no,yes,Rarely,More than 1000,yes,yes,No,no,No,I don't know,Somewhat easy,Maybe,"Yes, I observed",No,Physical health,Maybe,7.0,5.0,Yes,Maybe,26-42
458,25.0,female,South Africa,No,No,yes,yes,Not applicable to me,More than 1000,yes,yes,No,no,No,I don't know,Somewhat easy,Maybe,"Yes, I observed",No,Physical health,No,7.0,5.0,Yes,Yes,22-25
459,36.0,male,India,No,I don't know,yes,no,Often,More than 1000,yes,no,No,no,Yes,Yes,Somewhat difficult,No,"Yes, I observed",Maybe/Not sure,Physical health,No,6.0,1.0,No,No,26-42
460,28.0,female,United States of America,Yes,Yes,yes,no,Often,6-25,no,no,No,yes,No,I don't know,Neither easy nor difficult,Maybe,"Yes, I experienced",Maybe/Not sure,Same level of comfort for each,No,3.0,2.0,No,Yes,26-42
461,27.0,male,United States of America,Possibly,I don't know,yes,no,Sometimes,500-1000,yes,yes,Yes,no,No,I don't know,Neither easy nor difficult,Maybe,Maybe/Not sure,Maybe/Not sure,Physical health,No,5.0,2.0,No,Maybe,26-42
462,47.0,trans,United States of America,Yes,Yes,yes,no,Rarely,26-100,yes,yes,Yes,no,No,Yes,Very easy,No,Maybe/Not sure,Maybe/Not sure,Physical health,No,7.0,5.0,Yes,No,43-100
463,25.0,male,India,Yes,I don't know,yes,no,Rarely,26-100,yes,I don't know,No,no,No,I don't know,I don't know,Maybe,Maybe/Not sure,Maybe/Not sure,Physical health,Maybe,5.0,3.0,Maybe,No,22-25
464,30.0,female,United States of America,No,No,yes,no,Not applicable to me,100-500,yes,I don't know,No,no,No,I don't know,Somewhat easy,Yes,Maybe/Not sure,"Yes, I experienced",Physical health,No,2.0,3.0,Yes,No,26-42
465,45.0,male,United States of America,Yes,Yes,yes,no,Rarely,100-500,no,no,No,I don't know,I don't know,I don't know,I don't know,No,"Yes, I experienced",No,Physical health,No,5.0,5.0,No,Yes,43-100
467,24.0,female,South Africa,Possibly,I don't know,yes,no,Not applicable to me,6-25,yes,no,No,no,No,No,Neither easy nor difficult,Maybe,"Yes, I experienced",No,Same level of comfort for each,No,3.0,2.0,No,No,22-25
